School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Eastern Washington,809,1815,200,511,726,329,1088,331
Elon,806,1837,174,495,728,358,1113,364
Evansville,831,1862,238,483,684,372,1126,411
Fairfield,699,1649,154,688,967,320,1133,358
Fairleigh Dickinson,769,1714,216,604,826,410,1177,395
Florida A&M,772,1809,170,656,973,435,1282,478
Florida Atlantic,752,1787,165,523,743,384,1134,350
Florida Gulf Coast,821,1989,239,458,701,367,1184,444
Florida International,766,1780,189,449,653,370,1071,388
Florida State,824,2065,228,516,747,482,1216,453
Florida NCAA,806,2004,207,434,626,370,1191,526
Fordham,829,1793,224,537,760,390,1208,387
Fresno State,950,2217,226,623,907,446,1435,444
Furman,794,1724,230,378,535,340,1038,329
Gardner-Webb,832,1846,170,475,681,341,1131,465
George Mason,746,1677,188,553,794,313,1044,378
George Washington NCAA,788,1895,214,421,632,383,1113,442
Georgetown,715,1703,203,622,893,361,1079,395
Georgia Southern,861,1923,240,433,623,349,1200,438
Georgia State,804,1909,267,455,670,413,1233,451
Georgia Tech,761,1815,197,485,688,328,1097,334
Georgia,748,1855,207,568,805,365,1101,357
Gonzaga NCAA,806,2027,203,557,784,399,1178,422
Grambling,833,1627,203,447,677,322,1036,379
Grand Canyon,749,1724,178,476,687,311,1026,303
Green Bay,701,1780,188,409,575,366,1041,428
Hampton,687,1728,188,615,929,411,1206,498
Hartford,763,1665,182,469,687,319,1048,430
Harvard NCAA,680,1664,164,428,603,318,1004,459
Hawaii,783,1752,197,507,697,322,978,412
High Point,800,1715,225,428,603,333,1012,373
Hofstra,828,1829,242,516,754,347,1108,331
Holy Cross,800,1817,213,404,549,304,1075,411
Houston Baptist,825,1833,181,542,784,372,1153,368
Houston,866,1939,209,468,670,403,1180,365
Howard,739,1716,217,649,937,409,1206,487
Idaho State,706,1562,254,370,540,298,922,374
Idaho,893,1935,211,539,791,358,1148,354
Illinois-Chicago,752,1616,201,543,780,282,1037,360
Illinois State,779,1854,239,532,791,381,1272,470
Illinois,771,1833,221,413,590,334,1162,412
Incarnate Word,682,1689,176,395,568,321,954,359
Indiana State,789,1805,213,537,773,309,1113,395
Indiana,757,1837,182,466,653,329,998,393
Iona,959,2111,218,424,620,446,1261,392
Iowa State NCAA,954,2272,259,511,698,403,1329,418
Iowa NCAA,804,1938,229,484,686,361,1101,439
Fort Wayne,907,1955,219,448,623,317,1057,429
IUPUI,868,1845,190,457,607,321,1134,330
Jackson State,674,1563,198,585,874,315,1047,448
Jacksonville State,746,1559,164,520,729,309,1046,376
Jacksonville,846,1754,233,460,663,362,1105,404
James Madison,697,1650,226,510,733,341,1088,370
Kansas State NCAA,723,1774,162,551,805,385,1149,416
Kansas NCAA,815,1961,219,605,892,373,1073,396
Kennesaw State,777,1699,168,582,786,364,1108,400
Kent State,717,1667,182,572,792,328,1105,427
Kentucky NCAA,933,2271,222,577,836,437,1231,428
La Salle,772,1772,161,415,569,352,1100,362
Lafayette,809,1718,239,458,630,341,1033,372
Lamar,845,1729,195,433,666,347,1075,386
Lehigh,795,1872,211,406,582,380,1175,359
Liberty,767,1772,236,464,644,320,980,333
Lipscomb,782,1662,235,556,795,318,1124,428
Long Beach State,785,1796,216,469,665,363,1133,406
Long Island University,844,1771,247,380,547,346,1068,312
Longwood,863,1826,260,584,786,382,1193,420
Louisiana NCAA,907,2032,205,614,885,400,1214,483
Louisiana-Monroe,652,1516,177,370,562,297,944,296
Louisiana State,833,2010,212,545,778,412,1240,433
Louisiana Tech,871,2099,180,538,807,415,1351,606
Louisville NCAA,786,1983,170,518,761,434,1285,638
Loyola (IL),760,1670,194,485,688,317,1027,372
Loyola Marymount,850,1824,197,571,779,385,1163,441
Loyola (MD),737,1607,203,481,654,344,1088,413
Maine,856,1824,208,484,705,378,1171,387
Manhattan NCAA,739,1809,164,669,956,409,1199,515
Marist,780,1750,211,462,671,356,1148,415
Marquette,749,1772,241,460,686,332,1064,422
Marshall,835,1889,197,508,793,411,1268,446
Maryland-Baltimore County,683,1528,200,619,879,310,1103,462
Maryland-Eastern Shore,775,1634,199,502,702,338,1064,389
Maryland,735,1761,194,502,742,331,1094,410
Massachusetts-Lowell,692,1560,172,382,538,338,1021,336
Massachusetts NCAA,843,1986,165,499,739,400,1172,445
McNeese State,814,1847,245,485,676,408,1226,398
Memphis NCAA,888,2029,180,441,681,421,1192,490
Mercer NCAA,812,2024,236,550,787,399,1190,452
Miami (FL),695,1713,221,353,534,340,1058,319
Miami (OH),767,1666,258,368,541,295,1056,454
Michigan State NCAA,817,2058,252,605,829,375,1208,449
Michigan NCAA,905,2035,201,397,543,364,1154,398
Middle Tennessee,696,1694,170,505,748,330,1053,478
Milwaukee NCAA,869,1991,204,527,707,373,1241,445
Minnesota,867,2036,247,593,810,400,1259,472
Mississippi State,847,1872,219,440,617,350,1163,461
Mississippi Valley State,905,1818,172,600,884,335,1211,461
Mississippi,794,1894,246,566,821,432,1292,462
Missouri-Kansas City,783,1692,207,522,729,315,1124,418
Missouri State,767,1726,222,495,742,317,1120,392
Missouri,833,2011,256,519,759,403,1123,370
Monmouth,756,1720,251,575,836,344,1156,479
Montana State,749,1608,220,447,618,249,1014,403
Montana,721,1517,163,465,687,317,971,356
Morehead State,809,1806,211,654,924,310,1038,518
Morgan State,764,1761,184,527,788,384,1174,434
Mount St. Mary's NCAA,960,1939,155,491,669,357,1207,439
Murray State,896,2012,185,469,699,401,1160,400
Navy,652,1487,197,456,638,276,1035,398
Omaha,864,1885,188,488,674,348,1157,509
Nebraska NCAA,696,1659,186,507,744,319,1121,397
Nevada-Las Vegas,817,2028,171,359,522,404,1201,338
Nevada,796,1814,223,549,734,353,1133,341
New Hampshire,642,1573,171,490,684,297,1061,324
New Mexico State NCAA,863,2153,162,527,720,457,1170,397
New Mexico NCAA,776,1995,243,453,625,368,1115,338
New Orleans,698,1500,155,436,628,289,906,390
Niagara,909,1870,228,663,946,381,1247,493
Nicholls State,677,1453,142,618,872,282,1002,377
NJIT,677,1600,215,492,707,320,1026,391
Norfolk State,788,1845,247,575,809,382,1082,423
North Carolina-Asheville,838,1918,215,533,773,404,1105,384
North Carolina A&T,741,1720,231,629,915,365,1134,394
North Carolina Central NCAA,658,1726,186,521,753,382,1080,534
North Carolina-Greensboro,798,1822,206,571,812,319,1122,381
North Carolina State NCAA,851,1997,196,606,851,453,1266,414
North Carolina-Wilmington,771,1774,209,470,719,374,1204,362
North Carolina NCAA,810,1949,211,541,807,395,1179,462
North Dakota State NCAA,722,1709,222,498,664,290,950,381
North Dakota,870,1776,170,627,847,328,1152,499
North Florida,851,1861,182,493,745,347,1091,350
North Texas,794,1843,197,528,784,355,1203,397
Northeastern,798,1767,200,403,590,319,1062,358
Northern Arizona,750,1639,229,460,645,275,953,379
Northern Colorado,771,1653,208,498,679,294,954,391
Northern Illinois,665,1634,192,490,741,338,1062,430
Northern Iowa,741,1675,219,448,625,284,1047,352
Northern Kentucky,737,1569,200,537,766,310,1031,329
Northwestern State,909,2003,227,554,826,453,1254,504
Northwestern,735,1787,171,450,680,364,1224,342
Notre Dame,802,1780,225,429,571,318,1044,351
Oakland,866,1786,279,543,757,314,1192,455
Ohio State NCAA,761,1873,173,397,558,354,1177,502
Ohio,822,1990,194,585,826,402,1252,445
Oklahoma State NCAA,801,1957,211,552,803,409,1262,484
Oklahoma NCAA,864,1976,236,544,761,369,1198,426
Old Dominion,777,1848,214,554,825,374,1208,458
Oral Roberts,783,1809,186,535,768,349,1074,356
Oregon State,857,1908,216,490,703,373,1066,336
Oregon NCAA,838,1907,198,647,912,377,1125,458
Pacific,806,1768,261,650,918,303,1081,398
Penn State,763,1843,233,629,882,348,1174,374
Pennsylvania,668,1581,210,549,782,353,1022,359
Pepperdine,787,1793,215,458,675,358,1068,320
Pittsburgh NCAA,771,1872,205,482,682,352,1079,440
Portland State,815,1733,185,496,688,333,1082,426
Portland,747,1741,208,531,761,327,1045,355
Prairie View,883,1905,207,650,956,438,1322,469
Presbyterian,907,1931,254,377,539,373,1185,323
Princeton,679,1584,150,423,577,249,980,369
Providence NCAA,893,2017,188,469,681,374,1163,383
Purdue,771,1842,203,548,772,357,1143,371
Quinnipiac,869,2014,197,513,730,348,1078,275
Radford,925,1992,218,532,760,377,1188,443
Rhode Island,762,1775,143,511,762,351,1085,374
Rice,691,1610,185,516,732,312,1132,335
Richmond,738,1791,167,507,723,402,1272,433
Rider,801,1705,235,537,746,323,1062,413
Robert Morris,895,1978,259,534,759,380,1240,462
Rutgers,835,1868,238,607,834,373,1190,400
Sacramento State,697,1514,170,515,744,290,948,351
Sacred Heart,797,1732,216,568,765,341,1133,396
Saint Francis (PA),789,1686,190,382,507,311,1109,343
Saint Joseph's NCAA,825,1966,231,417,602,343,1123,344
Saint Louis NCAA,755,1875,139,456,665,354,1182,485
Saint Mary's (CA),805,1797,161,521,732,328,1046,410
Saint Peter's,692,1650,187,471,674,335,1071,360
Sam Houston State,806,1831,187,632,887,368,1154,493
Samford,855,1847,225,586,858,384,1156,385
San Diego State NCAA,734,1904,174,410,607,370,1180,490
San Diego,796,1865,212,479,685,360,1143,398
San Francisco,804,1831,227,522,745,340,1085,386
San Jose State,746,1729,210,520,773,338,1138,303
Santa Clara,798,1742,152,577,800,349,1176,398
Savannah State,673,1641,146,565,808,381,1127,469
Seattle,688,1623,186,557,773,312,994,390
Seton Hall,811,1828,212,541,761,322,1123,417
Siena,860,2078,218,724,1070,485,1327,482
South Alabama,759,1750,180,484,705,341,1122,357
South Carolina State,743,1675,195,499,723,363,1103,372
South Carolina Upstate,756,1868,260,510,703,375,1127,411
South Carolina,753,1728,195,675,985,376,1097,454
South Dakota State,773,1736,200,452,631,239,962,353
South Dakota,741,1688,220,450,624,301,1003,329
South Florida,809,1831,203,443,621,358,1124,375
Southeast Missouri State,839,1882,244,591,801,331,1063,388
Southeastern Louisiana,756,1678,173,487,721,344,1088,329
Southern California,843,1962,218,506,740,394,1182,359
SIU Edwardsville,851,1713,184,478,695,325,1054,433
Southern Illinois,735,1678,223,515,721,331,1040,424
Southern Methodist,762,1977,248,531,765,409,1157,518
Southern Mississippi,747,1754,263,523,803,341,1054,565
Southern Utah,702,1470,158,609,844,306,1040,321
Southern,634,1700,160,578,885,355,1116,419
St. Bonaventure,778,1741,208,549,783,347,1075,485
St. Francis (NY),717,1748,154,551,755,331,1087,396
St. John's (NY),761,1861,210,502,709,375,1200,434
Stanford NCAA,844,2006,237,532,743,355,1193,413
Stephen F. Austin NCAA,746,1643,148,579,840,293,1018,555
Stetson,786,1687,227,453,633,363,1125,377
Stony Brook,744,1796,240,525,740,313,1059,428
Syracuse NCAA,685,1669,233,409,612,346,1072,455
Temple,879,1855,193,470,690,369,1171,343
Tennessee-Martin,872,1675,194,588,829,300,1129,437
Tennessee State,744,1606,184,593,823,319,1029,335
Tennessee Tech,776,1727,189,635,895,347,1068,470
Tennessee NCAA,823,1991,192,445,631,351,1108,399
Texas A&M-Corpus Christi,779,1759,201,553,804,363,1059,404
Texas A&M,724,1810,191,496,720,386,1242,450
Texas-Arlington,834,1898,289,531,793,370,1171,392
Texas Christian,798,1795,205,446,630,415,1218,387
Texas-El Paso,738,1929,201,475,719,439,1173,391
Texas-Rio Grande Valley,755,1701,203,549,801,366,1207,463
Texas-San Antonio,787,1675,239,491,734,327,1001,356
Texas Southern NCAA,936,2075,222,418,607,386,1141,374
Texas State,692,1546,206,457,647,269,958,381
Texas Tech,732,1675,206,520,704,332,957,365
Texas NCAA,819,2039,259,578,835,399,1203,395
Toledo,897,1944,232,464,666,364,1138,464
Towson,857,2114,211,550,805,441,1207,308
Troy,796,1791,192,387,552,349,1099,372
Tulane,815,1839,234,493,729,369,1152,360
Tulsa NCAA,741,1830,218,599,869,363,1214,477
UCLA NCAA,898,2103,301,507,750,377,1245,529
Utah State,756,1788,188,432,601,292,979,251
Utah Valley,757,1747,184,395,614,319,1048,335
Utah,757,1841,179,429,635,329,1041,416
Valparaiso,755,1910,206,567,804,388,1078,371
Vanderbilt,722,1777,181,407,628,405,1119,331
Vermont,665,1684,182,488,674,306,979,430
Villanova NCAA,763,1886,220,515,728,355,1137,468
Virginia Commonwealth NCAA,808,1869,170,496,742,369,1285,638
VMI,1043,2377,220,585,827,507,1484,451
Virginia Tech,721,1787,236,399,599,335,1059,260
Virginia NCAA,727,1875,203,403,609,321,1085,413
Wagner,698,1783,172,554,779,380,1146,406
Wake Forest,819,1919,187,516,748,411,1185,374
Washington State,709,1570,188,475,695,268,1041,343
Washington,858,1808,156,518,749,309,1056,360
Weber State NCAA,753,1763,134,421,599,311,963,291
West Virginia,837,1873,220,528,780,377,1196,421
Western Carolina,799,1781,189,682,970,359,1173,468
Western Illinois,625,1481,163,467,653,263,930,367
Western Kentucky,735,1701,180,512,715,302,1061,417
Western Michigan NCAA,773,1883,225,464,651,385,1083,417
Wichita State NCAA,746,1911,211,438,674,339,1115,435
William & Mary,835,1819,224,387,538,323,1082,330
Winthrop,812,1761,205,526,750,325,1127,469
Wisconsin NCAA,915,2135,184,418,579,350,1212,370
Wofford NCAA,727,1642,153,447,659,286,1046,424
Wright State,748,1762,194,544,754,326,1137,574
Wyoming,718,1768,196,403,566,349,1092,343
Xavier NCAA,797,1851,233,489,732,335,1069,381
Yale,736,1696,217,493,691,280,1013,400
Youngstown State,817,1799,209,527,734,312,1094,423
