,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
14,Arkansas-Pine Bluff_2010,34,18,16,.529,-8.29,-7.68,,14,4,,8,1,,5,14,,2166,2187,,1380,725,1778,.408,141,466,.303,575,861,.668,422,1286,421,229,121,569,764
23,Baylor_2010,36,28,8,.778,17.97,8.03,,11,5,,15,1,,6,4,,2771,2362,,1450,993,2040,.487,255,662,.385,530,731,.725,443,1408,508,237,242,491,639
32,Brigham Young_2010,36,30,6,.833,18.82,3.00,,13,3,,15,1,,10,4,,2992,2392,,1450,1025,2120,.483,292,700,.417,650,823,.790,367,1332,567,307,126,417,621
37,Butler_2010,38,33,5,.868,14.37,5.08,,18,0,,15,0,,12,1,,2611,2258,,1525,845,1911,.442,260,761,.342,661,896,.738,353,1241,464,267,86,456,685
47,UC-Santa Barbara_2010,30,20,10,.667,-0.13,-1.09,,12,4,,11,2,,6,7,,2028,1972,,1205,674,1522,.443,205,544,.377,475,698,.681,268,984,414,202,92,460,572
48,University of California_2010,35,24,11,.686,17.29,8.26,,13,5,,15,1,,6,6,,2703,2387,,1405,966,2028,.476,228,609,.374,543,717,.757,395,1241,500,198,86,421,593
62,Clemson_2010,32,21,11,.656,15.71,7.90,,9,7,,14,2,,5,6,,2350,2065,,1280,851,1878,.453,216,631,.342,432,654,.661,420,1178,453,301,151,480,564
74,Cornell_2010,34,29,5,.853,8.76,-0.91,,13,1,,11,1,,13,3,,2596,2192,,1370,913,1894,.482,326,759,.430,393,538,.730,349,1149,543,243,122,414,598
86,Duke_2010,40,35,5,.875,25.21,9.21,,13,3,,17,0,,5,5,,3079,2441,,1600,1049,2375,.442,301,782,.385,682,899,.759,569,1560,555,266,162,429,722
91,East Tennessee State_2010,35,20,15,.571,-0.83,-1.47,,13,7,,9,5,,9,9,,2424,2362,,1405,855,1978,.432,177,575,.308,537,815,.659,445,1277,382,293,112,519,673
104,Florida State_2010,32,22,10,.688,14.64,6.79,,10,6,,13,3,,6,5,,2183,1932,,1285,783,1734,.452,186,557,.334,431,669,.644,406,1211,446,267,200,528,575
105,Florida_2010,34,21,13,.618,11.89,7.16,,9,7,,13,4,,5,5,,2455,2258,,1375,890,2006,.444,203,648,.313,472,671,.703,455,1265,479,243,94,423,501
114,Georgetown_2010,34,23,11,.676,17.03,9.56,,10,8,,12,4,,6,5,,2500,2246,,1360,905,1815,.499,212,548,.387,478,672,.711,333,1132,524,237,161,473,579
117,Georgia Tech_2010,36,23,13,.639,14.11,9.02,,7,9,,14,2,,3,8,,2621,2365,,1445,948,2064,.459,213,587,.363,512,779,.657,464,1430,508,288,190,574,670
119,Gonzaga_2010,34,27,7,.794,12.11,3.83,,12,2,,14,1,,6,3,,2614,2291,,1375,912,1856,.491,182,516,.353,608,916,.664,358,1286,456,227,142,444,614
130,Houston_2010,35,19,16,.543,6.74,3.48,,7,9,,10,5,,4,9,,2751,2624,,1410,958,2282,.420,290,814,.356,545,768,.710,440,1185,435,329,103,315,652
150,Kansas State_2010,37,29,8,.784,19.88,10.28,,11,5,,13,3,,7,2,,2949,2584,,1500,981,2182,.450,253,703,.360,734,1098,.668,559,1437,541,274,187,529,828
151,Kansas_2010,36,33,3,.917,24.68,8.25,,15,1,,18,0,,9,2,,2937,2312,,1450,1033,2111,.489,262,648,.404,609,871,.699,468,1457,609,301,232,470,658
156,Kentucky_2010,38,35,3,.921,21.13,6.82,,14,2,,18,0,,7,2,,3012,2468,,1535,1066,2228,.478,231,697,.331,649,971,.668,538,1584,573,279,273,538,641
160,Lehigh_2010,33,22,11,.667,-3.33,-7.79,,10,4,,15,2,,7,8,,2478,2331,,1330,842,1853,.454,220,551,.399,574,799,.718,339,1201,495,203,85,429,589
170,Louisville_2010,33,20,13,.606,14.08,7.99,,11,7,,15,4,,4,7,,2505,2304,,1335,876,1960,.447,262,777,.337,491,700,.701,478,1217,511,258,135,453,663
179,Marquette_2010,34,22,12,.647,15.17,8.23,,11,7,,13,4,,6,5,,2485,2198,,1380,861,1890,.456,274,664,.413,489,660,.741,343,1071,516,269,72,353,580
183,Maryland_2010,33,24,9,.727,17.75,7.95,,13,3,,15,1,,7,3,,2629,2254,,1335,966,2052,.471,195,510,.382,502,689,.729,421,1270,545,256,154,383,554
190,Michigan State_2010,37,28,9,.757,15.33,8.17,,14,4,,15,2,,8,4,,2658,2361,,1485,974,2068,.471,187,543,.344,523,764,.685,487,1426,606,242,123,514,666
194,Minnesota_2010,35,21,14,.600,15.64,7.32,,9,9,,14,3,,4,7,,2533,2242,,1415,912,1949,.468,246,617,.399,463,661,.700,375,1237,583,273,199,427,579
202,Missouri_2010,34,23,11,.676,17.39,6.36,,10,6,,16,2,,4,6,,2627,2252,,1370,926,2104,.440,258,701,.368,517,714,.724,441,1200,522,371,160,432,656
205,Montana_2010,32,22,10,.688,3.93,-2.35,,10,6,,14,2,,7,7,,2228,1960,,1280,791,1636,.483,210,526,.399,436,603,.723,283,1048,396,206,106,390,571
207,Morgan State_2010,37,27,10,.730,-1.18,-6.15,,15,1,,11,1,,12,7,,2813,2606,,1500,960,2239,.429,205,617,.332,688,983,.700,568,1488,461,243,152,499,782
209,Murray State_2010,36,31,5,.861,8.69,-3.89,,17,1,,15,0,,11,4,,2753,2175,,1440,978,1961,.499,226,599,.377,571,821,.695,439,1319,556,347,196,527,618
212,Nevada-Las Vegas_2010,34,25,9,.735,12.57,4.82,,11,5,,15,4,,9,3,,2485,2168,,1370,899,1950,.461,231,695,.332,456,637,.716,337,1149,551,266,117,395,691
215,New Mexico State_2010,34,22,12,.647,2.06,1.66,,11,5,,12,3,,7,8,,2662,2639,,1360,919,1997,.460,287,774,.371,537,767,.700,358,1212,484,203,111,437,595
216,New Mexico_2010,35,30,5,.857,12.49,3.84,,14,2,,17,1,,10,2,,2655,2352,,1410,887,2023,.438,273,739,.369,608,909,.669,458,1347,497,232,120,387,615
234,North Texas_2010,33,24,9,.727,-2.49,-4.72,,13,5,,12,2,,9,6,,2437,2303,,1340,798,1748,.457,179,538,.333,662,921,.719,364,1220,394,144,94,485,590
239,Northern Iowa_2010,35,30,5,.857,12.03,4.27,,15,3,,14,0,,9,3,,2216,1929,,1400,747,1741,.429,233,659,.354,489,645,.758,333,1130,367,198,70,372,556
244,Notre Dame_2010,35,23,12,.657,13.14,6.22,,10,8,,17,3,,3,6,,2635,2393,,1415,918,1953,.470,261,673,.388,538,744,.723,402,1250,585,194,104,362,530
245,Oakland_2010,35,26,9,.743,-0.64,-2.96,,17,1,,13,1,,10,7,,2676,2504,,1400,920,2053,.448,206,640,.322,630,876,.719,477,1344,461,236,169,485,632
246,Ohio State_2010,37,29,8,.784,19.49,7.37,,14,4,,17,1,,6,5,,2740,2274,,1490,983,1999,.492,276,708,.390,498,716,.696,325,1234,545,262,157,413,565
247,Ohio_2010,37,22,15,.595,4.56,-0.03,,7,9,,13,4,,5,9,,2763,2569,,1510,925,2153,.430,278,759,.366,635,883,.719,443,1371,524,278,97,473,696
248,Oklahoma State_2010,33,22,11,.667,12.34,6.97,,9,7,,15,1,,3,7,,2437,2243,,1325,839,1861,.451,274,784,.349,485,679,.714,327,1169,413,214,84,418,664
250,Old Dominion_2010,36,27,9,.750,11.39,1.78,,15,3,,15,0,,9,6,,2415,2069,,1445,922,2061,.447,166,523,.317,405,625,.648,540,1394,554,282,105,457,560
258,Pittsburgh_2010,34,25,9,.735,14.30,7.39,,13,5,,17,1,,5,4,,2336,2101,,1390,809,1811,.447,181,526,.344,537,775,.693,420,1269,536,177,139,421,594
267,Purdue_2010,35,29,6,.829,17.52,8.81,,14,4,,15,3,,8,2,,2467,2144,,1405,867,1957,.443,187,588,.318,546,755,.723,351,1170,493,248,162,381,651
272,Richmond_2010,35,26,9,.743,10.03,3.43,,13,3,,14,1,,7,6,,2427,2196,,1430,868,1943,.447,250,704,.355,441,630,.700,304,1139,442,289,158,384,634
274,Robert Morris_2010,35,23,12,.657,-3.71,-6.15,,15,3,,12,3,,10,7,,2399,2306,,1405,815,1868,.436,197,546,.361,572,859,.666,412,1227,433,267,80,520,757
281,Saint Mary's (CA)_2010,34,28,6,.824,13.38,2.20,,11,3,,14,2,,9,2,,2668,2258,,1365,944,1950,.484,284,699,.406,496,652,.761,370,1244,543,168,176,394,560
283,Sam Houston State_2010,33,25,8,.758,3.71,-3.37,,14,2,,13,1,,7,6,,2616,2284,,1330,909,1963,.463,287,775,.370,511,727,.703,410,1247,673,257,85,442,661
287,San Diego State_2010,34,25,9,.735,11.34,4.21,,11,5,,14,1,,9,7,,2389,2101,,1375,875,1846,.474,179,564,.317,460,741,.621,444,1257,458,251,156,453,552
295,Siena_2010,34,27,7,.794,8.48,-1.17,,17,1,,17,0,,9,5,,2554,2226,,1370,930,2048,.454,160,498,.321,534,793,.673,442,1310,486,298,119,418,471
321,Syracuse_2010,35,30,5,.857,21.72,7.21,,15,3,,17,2,,8,1,,2832,2324,,1400,1042,2021,.516,244,624,.391,504,745,.677,417,1337,673,336,221,532,515
