Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,759,1640,181,529,747,305,1004,431
2,Air Force,690,1595,212,482,687,295,1016,354
3,Akron,809,1868,173,483,675,368,1128,439
4,Alabama A&M,642,1585,148,578,831,373,1141,413
5,Alabama-Birmingham,796,1927,200,388,581,370,1129,345
6,Alabama State,789,1779,166,481,692,375,1181,476
7,Alabama,727,1736,177,519,698,384,1117,410
8,Albany (NY) NCAA,775,1848,236,388,537,329,1062,397
9,Alcorn State,724,1684,179,474,667,339,1069,390
10,American NCAA,671,1621,161,448,660,319,962,396
11,Appalachian State,763,1644,179,447,670,303,1064,386
12,Arizona State NCAA,821,1961,175,474,732,385,1251,394
13,Arizona NCAA,776,2041,173,500,698,369,1181,471
14,Little Rock,759,1775,251,602,869,347,1136,419
15,Arkansas-Pine Bluff,727,1559,203,531,776,325,1082,514
16,Arkansas State,811,1886,200,477,665,362,1172,421
17,Arkansas,809,1983,213,594,852,473,1340,579
18,Army,807,1755,208,447,621,343,1088,424
19,Auburn,695,1615,219,546,787,343,1053,381
20,Austin Peay,838,1817,234,458,622,364,1052,430
21,Ball State,769,1671,158,518,738,302,996,339
22,Baylor NCAA,927,2179,258,465,688,432,1200,394
23,Belmont,914,1989,248,585,839,396,1177,517
24,Bethune-Cookman,728,1604,193,603,850,372,1121,406
25,Binghamton,724,1601,244,448,654,315,1074,394
26,Boise State,809,1814,218,511,727,274,1025,397
27,Boston College,824,1771,182,524,719,357,1067,303
28,Boston University,844,1924,229,429,607,351,1203,478
29,Bowling Green State,716,1740,199,424,650,353,1138,451
30,Bradley,704,1614,206,499,700,319,1066,413
31,Brigham Young NCAA,935,2175,259,577,810,382,1253,441
32,Brown,671,1703,163,446,627,315,1068,343
33,Bryant,819,1888,243,423,622,402,1165,404
34,Bucknell,697,1644,182,346,522,252,953,274
35,Buffalo,693,1640,163,403,591,329,986,385
36,Butler,767,1714,163,367,531,290,1058,365
37,Cal Poly NCAA,739,1703,183,502,694,341,1150,383
38,Cal State Bakersfield,710,1642,180,589,847,326,1046,406
39,Cal State Fullerton,758,1656,163,536,760,296,1086,353
40,Cal State Northridge,924,2033,268,596,847,386,1154,431
41,UC-Davis,851,1754,214,492,659,340,1132,386
42,UC-Irvine,746,1997,196,543,762,406,1207,358
43,UC-Riverside,741,1716,197,535,718,321,1084,383
44,UC-Santa Barbara,658,1645,215,429,644,349,991,316
45,University of California,850,2044,216,503,688,380,1220,354
46,Campbell,828,1807,184,451,659,388,1123,343
47,Canisius,879,1952,230,499,690,428,1204,453
48,Central Arkansas,801,1718,165,593,832,385,1182,436
49,Central Connecticut State,831,1849,227,429,625,411,1187,392
50,Central Florida,835,1818,191,420,644,358,1085,369
51,Central Michigan,806,1643,215,461,626,291,1057,420
52,Charleston Southern,767,1773,242,466,671,317,1075,394
53,Charlotte,795,1827,207,424,659,341,1084,379
54,Chattanooga,891,1928,173,484,714,374,1174,456
55,Chicago State,788,1732,223,640,916,392,1285,511
56,Cincinnati NCAA,690,1745,182,424,628,366,1078,485
57,Citadel,870,1927,230,483,717,397,1208,345
58,Clemson,778,1970,172,375,564,418,1199,380
59,Cleveland State,730,1745,201,525,738,358,1055,424
60,Coastal Carolina NCAA,778,1934,264,506,730,372,1175,440
61,Colgate,747,1673,190,399,580,288,989,323
62,College of Charleston,689,1685,158,470,721,313,1038,308
63,Colorado State,769,1741,230,462,648,294,1049,352
64,Colorado NCAA,856,1986,251,424,603,319,1098,422
65,Columbia,749,1751,165,488,706,295,1015,360
66,Connecticut NCAA,878,2241,241,532,801,492,1378,518
67,Coppin State,858,1852,248,439,662,407,1255,433
68,Cornell,740,1493,208,507,701,279,1011,290
69,Creighton NCAA,844,1983,234,454,654,347,1112,338
70,Dartmouth,602,1356,168,492,658,230,869,366
71,Davidson,835,1783,167,567,804,302,1085,412
72,Dayton NCAA,843,1936,203,589,832,353,1158,459
73,Delaware State,664,1544,167,451,636,339,1023,340
74,Delaware NCAA,936,2115,219,557,803,429,1365,418
75,Denver,688,1437,145,478,695,288,972,388
76,DePaul,848,1768,210,581,825,335,1130,430
77,Detroit Mercy,738,1725,216,575,832,338,1108,438
78,Drake,734,1647,206,441,634,272,977,344
79,Drexel,682,1606,151,505,749,319,1093,338
80,Duke NCAA,848,1860,138,525,758,357,1137,425
81,Duquesne,780,1712,264,387,576,299,1058,361
82,East Carolina,892,1977,220,407,609,414,1206,410
83,East Tennessee State,903,2044,269,588,853,422,1339,491
84,Eastern Illinois,745,1591,205,511,721,305,988,361
85,Eastern Kentucky NCAA,793,1631,204,621,880,325,1110,574
86,Eastern Michigan,739,2001,249,543,783,510,1428,564
87,Eastern Washington,809,1815,200,511,726,329,1088,331
88,Elon,806,1837,174,495,728,358,1113,364
89,Evansville,831,1862,238,483,684,372,1126,411
90,Fairfield,699,1649,154,688,967,320,1133,358
91,Fairleigh Dickinson,769,1714,216,604,826,410,1177,395
92,Florida A&M,772,1809,170,656,973,435,1282,478
93,Florida Atlantic,752,1787,165,523,743,384,1134,350
94,Florida Gulf Coast,821,1989,239,458,701,367,1184,444
95,Florida International,766,1780,189,449,653,370,1071,388
96,Florida State,824,2065,228,516,747,482,1216,453
97,Florida NCAA,806,2004,207,434,626,370,1191,526
98,Fordham,829,1793,224,537,760,390,1208,387
99,Fresno State,950,2217,226,623,907,446,1435,444
100,Furman,794,1724,230,378,535,340,1038,329
101,Gardner-Webb,832,1846,170,475,681,341,1131,465
102,George Mason,746,1677,188,553,794,313,1044,378
103,George Washington NCAA,788,1895,214,421,632,383,1113,442
104,Georgetown,715,1703,203,622,893,361,1079,395
105,Georgia Southern,861,1923,240,433,623,349,1200,438
106,Georgia State,804,1909,267,455,670,413,1233,451
107,Georgia Tech,761,1815,197,485,688,328,1097,334
108,Georgia,748,1855,207,568,805,365,1101,357
109,Gonzaga NCAA,806,2027,203,557,784,399,1178,422
110,Grambling,833,1627,203,447,677,322,1036,379
111,Grand Canyon,749,1724,178,476,687,311,1026,303
112,Green Bay,701,1780,188,409,575,366,1041,428
113,Hampton,687,1728,188,615,929,411,1206,498
114,Hartford,763,1665,182,469,687,319,1048,430
115,Harvard NCAA,680,1664,164,428,603,318,1004,459
116,Hawaii,783,1752,197,507,697,322,978,412
117,High Point,800,1715,225,428,603,333,1012,373
